family,offered_load,cascade_threshold,cascade_dwell_ticks,algorithm,cascade_depth,pdr,pdr_critical,total_links
scale_free,0.7,0.85,20,ecmp,111.0,0.21393476803724942,0.32008983959766435,232.0
scale_free,0.7,0.85,20,orbit,120.0,0.17332036821389935,0.23720917788883314,232.0
scale_free,0.7,0.85,20,spf-reconverge,121.5,0.19782686364037091,0.34194899765838394,232.0
scale_free,0.7,0.85,20,spf-static,44.5,0.20540760795605625,0.24948555246409987,232.0
scale_free,0.7,0.85,40,cspf,98.0,0.35439079007149343,0.5380933248832318,232.0
scale_free,0.7,0.85,40,ecmp,100.0,0.374462208161213,0.6303342875347815,232.0
scale_free,0.7,0.85,40,orbit,110.0,0.32791162349529657,0.5084520373799652,232.0
scale_free,0.7,0.85,40,spf-reconverge,103.0,0.3611203121467451,0.6647080196768207,232.0
scale_free,0.7,0.85,40,spf-static,40.0,0.2703292382209931,0.36065164065571753,232.0
scale_free,0.7,0.9,1,cspf,116.0,0.05988923940290578,0.04767902963802063,232.0
scale_free,0.7,0.9,1,ecmp,111.5,0.06977757523167673,0.05726404069835887,232.0
scale_free,0.7,0.9,1,orbit,114.0,0.06600991388352609,0.05821970298203977,232.0
scale_free,0.7,0.9,1,spf-reconverge,120.0,0.05222377334023144,0.04923374251693425,232.0
scale_free,0.7,0.9,1,spf-static,38.5,0.15954468946210104,0.20122835433839004,232.0
scale_free,0.7,0.9,3,cspf,116.0,0.07498146180890095,0.07073372459311678,232.0
scale_free,0.7,0.9,3,ecmp,106.0,0.09019831550890937,0.08353675296683524,232.0
scale_free,0.7,0.9,3,orbit,114.0,0.07832270711200233,0.08205317393220168,232.0
scale_free,0.7,0.9,3,spf-reconverge,120.0,0.06891502238556133,0.08126260512553876,232.0
scale_free,0.7,0.9,3,spf-static,38.5,0.16500318547844572,0.21148372467899937,232.0
scale_free,0.7,0.9,5,cspf,116.0,0.08968755104488667,0.09387154932702811,232.0
scale_free,0.7,0.9,5,ecmp,106.0,0.10702313940412934,0.11769077945395226,232.0
scale_free,0.7,0.9,5,orbit,114.0,0.08997975809406655,0.10672992919088498,232.0
scale_free,0.7,0.9,5,spf-reconverge,120.0,0.08580086909231946,0.11374306834584899,232.0
scale_free,0.7,0.9,5,spf-static,38.5,0.17079276068111957,0.22173909501960865,232.0
scale_free,0.7,0.9,10,cspf,114.0,0.12685749655376635,0.15844824729416357,232.0
scale_free,0.7,0.9,10,ecmp,106.0,0.14653781185036074,0.19730004032446885,232.0
scale_free,0.7,0.9,10,orbit,111.0,0.12816493745669622,0.17539857901062117,232.0
scale_free,0.7,0.9,10,spf-reconverge,120.5,0.1275226419482554,0.20220738640225233,232.0
scale_free,0.7,0.9,10,spf-static,38.5,0.18526669868780415,0.2473775208711319,232.0
scale_free,0.7,0.9,20,cspf,115.0,0.19407879739952982,0.27191554820699976,232.0
scale_free,0.7,0.9,20,ecmp,106.0,0.22902726646706872,0.35953248794096815,232.0
scale_free,0.7,0.9,20,orbit,113.5,0.1872243466390624,0.2768303112336628,232.0
scale_free,0.7,0.9,20,spf-reconverge,120.0,0.2140195235745565,0.36477205872273083,232.0
scale_free,0.7,0.9,20,spf-static,38.5,0.21421457470117347,0.29724401002916306,232.0
scale_free,0.7,0.9,40,cspf,89.0,0.39782807874076476,0.60100253543902,232.0
scale_free,0.7,0.9,40,ecmp,89.5,0.39915407960906535,0.6671467460857783,232.0
scale_free,0.7,0.9,40,orbit,98.0,0.3706080577239205,0.5774793560532174,232.0
scale_free,0.7,0.9,40,spf-reconverge,94.0,0.382874609971956,0.7060693470475554,232.0
scale_free,0.7,0.9,40,spf-static,35.5,0.28424125610904594,0.3871161893937465,232.0
scale_free,0.7,0.95,1,cspf,105.5,0.07776655737569635,0.05024301522648236,232.0
scale_free,0.7,0.95,1,ecmp,107.0,0.07389130229695717,0.05323197262307891,232.0
scale_free,0.7,0.95,1,orbit,102.5,0.08278523885621333,0.08195786898986337,232.0
scale_free,0.7,0.95,1,spf-reconverge,117.0,0.06442568824153488,0.05556023490585081,232.0
scale_free,0.7,0.95,1,spf-static,35.0,0.1738201872248781,0.20879728923913898,232.0
scale_free,0.7,0.95,3,cspf,105.5,0.0930161471670515,0.07731030076347557,232.0
scale_free,0.7,0.95,3,ecmp,100.0,0.09973709450175308,0.09002616188604125,232.0
scale_free,0.7,0.95,3,orbit,102.5,0.09615482018189289,0.10827661288838467,232.0
scale_free,0.7,0.95,3,spf-reconverge,117.0,0.07996302020261022,0.09087755282768925,232.0
scale_free,0.7,0.95,3,spf-static,35.0,0.17921327483944816,0.2180592271114353,232.0
scale_free,0.7,0.95,5,cspf,105.0,0.10718262934209291,0.10437758630046831,232.0
scale_free,0.7,0.95,5,ecmp,101.5,0.11857154750404164,0.13218572857633748,232.0
scale_free,0.7,0.95,5,orbit,102.5,0.11040378050725219,0.13664838605829524,232.0
scale_free,0.7,0.95,5,spf-reconverge,117.0,0.09695306308236006,0.1261948707495279,232.0
scale_free,0.7,0.95,5,spf-static,35.0,0.1846063624540183,0.22732116498373156,232.0
scale_free,0.7,0.95,10,cspf,103.5,0.14608621699147428,0.18252028739580506,232.0
scale_free,0.7,0.95,10,ecmp,100.5,0.16283601694172278,0.2169833553131067,232.0
scale_free,0.7,0.95,10,orbit,100.0,0.14729327504852993,0.20618677393869742,232.0
scale_free,0.7,0.95,10,spf-reconverge,118.0,0.14102948355671946,0.2165584003636551,232.0
scale_free,0.7,0.95,10,spf-static,35.0,0.19808908149044357,0.25047600966447225,232.0
scale_free,0.7,0.95,20,cspf,104.0,0.211586518124856,0.2903194978212683,232.0
scale_free,0.7,0.95,20,ecmp,101.5,0.2539465341318337,0.3823286775723399,232.0
scale_free,0.7,0.95,20,orbit,100.5,0.21544925504715584,0.33453483520404875,232.0
scale_free,0.7,0.95,20,spf-reconverge,117.0,0.22914636612379602,0.3916802366949786,232.0
scale_free,0.7,0.95,20,spf-static,35.0,0.22565116251676026,0.3010278076447215,232.0
scale_free,0.7,0.95,40,cspf,77.0,0.43338586157058634,0.6438703535628072,232.0
scale_free,0.7,0.95,40,ecmp,82.5,0.42123150018500843,0.700714246315896,232.0
scale_free,0.7,0.95,40,orbit,84.0,0.41359825229794855,0.6550306343870321,232.0
scale_free,0.7,0.95,40,spf-reconverge,87.0,0.401332891819615,0.7298749473286374,232.0
scale_free,0.7,0.95,40,spf-static,32.0,0.2923453420733445,0.39372621845611677,232.0
scale_free,0.7,0.98,1,cspf,101.0,0.08108900405856095,0.06591177238531643,232.0
scale_free,0.7,0.98,1,ecmp,102.0,0.08608029801217942,0.07731015322691359,232.0
scale_free,0.7,0.98,1,orbit,96.0,0.09123142208760746,0.10496577700923902,232.0
scale_free,0.7,0.98,1,spf-reconverge,112.5,0.06267932403566807,0.06435585484826148,232.0
scale_free,0.7,0.98,1,spf-static,34.0,0.19358597863632973,0.20879728923913898,232.0
scale_free,0.7,0.98,3,cspf,101.0,0.09480376562588624,0.09199428458998556,232.0
scale_free,0.7,0.98,3,ecmp,98.0,0.10328309882303183,0.11618964785376859,232.0
scale_free,0.7,0.98,3,orbit,96.0,0.10709554293149517,0.1335137887952067,232.0
scale_free,0.7,0.98,3,spf-reconverge,112.5,0.08203595931948945,0.10302455191043873,232.0
scale_free,0.7,0.98,3,spf-static,34.0,0.1985952885510949,0.2180592271114353,232.0
scale_free,0.7,0.98,5,cspf,101.0,0.10988904452981169,0.11807679679465508,232.0
scale_free,0.7,0.98,5,ecmp,96.0,0.12307813065889867,0.15852017654856196,232.0
scale_free,0.7,0.98,5,orbit,96.0,0.1243232638117752,0.16360778911269364,232.0
