scenario,algorithm,n,pdr_critical_median,pdr_critical_iqr,pdr_critical_n,pdr_median,pdr_iqr,pdr_n,throughput_mbps_median,throughput_mbps_iqr,throughput_mbps_n,time_to_restore_critical_s_median,time_to_restore_critical_s_iqr,time_to_restore_critical_s_n,control_seconds_median,control_seconds_iqr,control_seconds_n,p95_latency_ms_median,p95_latency_ms_iqr,p95_latency_ms_n
scale_free-n500-load0.7-random_node_30-centralised-deg4.0,ecmp,30,0.48166051922425634,0.0401404495826031,30,0.2610518508148454,0.03762810636718672,30,9842.680599742278,1439.0781753550164,30,,,0,9.621484400006011,0.3216549500139081,30,135.62235957508193,24.72513469775967,30
scale_free-n500-load0.7-random_node_30-centralised-deg4.0,orbit,30,0.5027650761551292,0.04473991049128179,30,0.3301356252849536,0.06617704418690007,30,12442.916993453997,2326.3257393231725,30,,,0,7.601188949978678,0.2345369749891688,30,157.42367899037842,4.761011071713938,30
scale_free-n500-load0.7-random_node_30-centralised-deg4.0,spf-reconverge,30,0.44283226183634794,0.038080686719614454,30,0.2240262753672143,0.024797891763763263,30,8460.515063089026,1037.0957380464934,30,,,0,1.7914366000331938,0.08168615002796287,30,155.04597317903503,2.0253531371726865,30
scale_free-n500-load0.7-random_node_30-centralised-deg4.0,spf-static,30,0.25604626545393605,0.08363782887248677,30,0.17973195616506704,0.04918595969891454,30,6711.658352485962,2051.4608010206102,30,,,0,1.2715005000063684,0.047751975027495064,30,105.05754334153485,0.03979416463295138,30
waxman-n100-load0.7-critical_link-centralised-deg4.0,cspf,30,0.9813304651372041,0.028700737846866997,30,0.7304230749254416,0.06701514040221657,30,5815.430441318539,541.5948287277806,30,0.0,0.0,27,1.1039242499973625,0.05749999998806743,30,151.89377042320456,0.8500075974696415,30
waxman-n100-load0.7-critical_link-centralised-deg4.0,ecmp,30,0.9209607562630728,0.05141447380470232,30,0.5189633493240624,0.044050355984413536,30,4059.715511097378,513.5845746293176,30,0.0,0.2,28,1.5208056999836117,0.13271942498977296,30,151.62877248727835,0.8213115506398765,30
waxman-n100-load0.7-critical_link-centralised-deg4.0,orbit,30,0.9991626165432335,0.011091467271742594,30,0.7124416068739946,0.08473655425377924,30,5605.728868474005,496.45129318382897,30,0.0,0.0,28,0.878031700005522,0.07824750000872882,30,151.5668224806143,48.29860775642602,30
waxman-n100-load0.7-critical_link-centralised-deg4.0,spf-reconverge,30,0.9209607562630728,0.051414473804702876,30,0.5189633493240624,0.044050355984413536,30,4059.715511097378,513.5845746293176,30,0.0,0.2,28,0.3116673000040464,0.026225525012705475,30,151.62877248727835,0.8213115506398765,30
waxman-n100-load0.7-critical_link-centralised-deg4.0,spf-static,30,0.8787425967997282,0.07016938931151528,30,0.5069775099969263,0.04678937766124003,30,4020.8218805329134,463.1338234779746,30,0.0,0.0,19,0.152578800014453,0.013957425049738958,30,151.39961667178648,0.8989741705547942,30
waxman-n100-load0.7-random_node_30-centralised-deg4.0,cspf,30,0.48417529925638936,0.12267045417731481,30,0.344596945259928,0.07859929175572611,30,2865.3429745358662,449.17193218390366,30,,,0,0.8071518999931868,0.07434107500739628,30,152.14148401695476,37.44902145761816,30
