experiment,scenario,family,nodes,offered_load,failure,control_mode,algorithm,trial,seed,pdr,pdr_critical,pdr_high,pdr_normal,pdr_low,throughput_mbps,mean_latency_ms,p95_latency_ms,time_to_restore_critical_s,time_to_restore_overall_s,censored,reroutes,preemptions,cascade_depth,time_to_converge_s,peak_restore_critical,optimality_gap,control_seconds,control_calls,blackholed_flow_ticks,wall_clock_s
a8-headline,ring-n60-load0.7-regional_srlg-centralised,ring,60,0.7,regional_srlg,CENTRALISED,spf-static,26,3365694930483849267,0.6053134328798692,0.5316856526961278,0.6237546596975169,0.6092776065568672,0.6230936966067596,332.39222497949265,16.251077875819036,29.763303981895152,,,True,0,0,0,0.0,0.4596372915724567,,0.0057456000067759305,2,8580,2.2197612000018125
a8-headline,ring-n60-load0.7-regional_srlg-centralised,ring,60,0.7,regional_srlg,CENTRALISED,cspf,27,12910977270461167812,0.6786503225122469,0.6742604459073991,0.7039992567500315,0.6636464306418381,0.6775011858038195,365.19380196537514,27.88322641409423,84.68648039369917,,,True,12,0,0,0.30000000000000004,0.6264426988303902,,0.03860429998894688,2,7044,2.440073999998276
a8-headline,ring-n60-load0.7-regional_srlg-centralised,ring,60,0.7,regional_srlg,CENTRALISED,ecmp,27,12910977270461167812,0.6785209525031547,0.6742604459073991,0.7039992567500315,0.6632891183433419,0.6775011858038195,365.1241856638522,27.939556766650423,84.68648039369917,,,True,15,0,0,0.30000000000000004,0.6264426988303902,,0.10201070000766777,2,7046,2.4765093000023626
a8-headline,ring-n60-load0.7-regional_srlg-centralised,ring,60,0.7,regional_srlg,CENTRALISED,orbit,27,12910977270461167812,0.6786503225122469,0.6742604459073991,0.7039992567500315,0.6636464306418381,0.6775011858038195,365.19380196537514,27.89969154908792,84.68648039369917,,,True,162,0,0,0.30000000000000004,0.6264426988303902,,0.03189210001437459,2,7044,2.3612404000014067
a8-headline,ring-n60-load0.7-regional_srlg-centralised,ring,60,0.7,regional_srlg,CENTRALISED,spf-reconverge,27,12910977270461167812,0.6779255474682823,0.6742604459073991,0.7039992567500315,0.6629162852751572,0.6756850296095726,364.80378763090124,29.695592197534108,84.68648039369917,,,True,14,0,0,0.30000000000000004,0.6264426988303902,,0.010598100008792244,2,7048,2.930466499994509
a8-headline,ring-n60-load0.7-regional_srlg-centralised,ring,60,0.7,regional_srlg,CENTRALISED,spf-static,27,12910977270461167812,0.5911396841474165,0.5469072888556691,0.660055125626586,0.5313379704230234,0.6323934865044085,318.1027719065296,14.613874587758056,29.893408221511912,,,True,0,0,0,0.0,0.4772007179103894,,0.005620600000838749,2,8840,1.9018527000007452
a8-headline,ring-n60-load0.7-regional_srlg-centralised,ring,60,0.7,regional_srlg,CENTRALISED,cspf,28,16868705887417566489,0.6692645585769579,0.6248641870340423,0.7073808210417675,0.6736662245698419,0.6460998844491691,361.8644710938157,47.59783528671343,94.65031067914632,,,True,21,0,0,0.30000000000000004,0.5717907857113149,,0.06082260000403039,2,7192,2.6776869000023
a8-headline,ring-n60-load0.7-regional_srlg-centralised,ring,60,0.7,regional_srlg,CENTRALISED,ecmp,28,16868705887417566489,0.6681419233089531,0.6254444923580706,0.7073808210417675,0.6737269700473166,0.6412260445389923,361.2574737378648,45.66993764007793,94.65031067914632,,,True,19,0,0,0.30000000000000004,0.5717907857113149,,0.06740149999677669,2,7188,2.727768600001582
a8-headline,ring-n60-load0.7-regional_srlg-centralised,ring,60,0.7,regional_srlg,CENTRALISED,orbit,28,16868705887417566489,0.6703769420460646,0.6254444923580706,0.7073808210417675,0.6742053593150618,0.6494858316640639,362.4659254074248,44.10368208942539,91.29671506591663,,,True,168,0,0,0.30000000000000004,0.5717907857113149,,0.03857910000078846,2,7186,2.5668369000050006
a8-headline,ring-n60-load0.7-regional_srlg-centralised,ring,60,0.7,regional_srlg,CENTRALISED,spf-reconverge,28,16868705887417566489,0.6681419233089531,0.6254444923580706,0.7073808210417675,0.6737269700473166,0.6412260445389923,361.2574737378648,45.66993764007793,94.65031067914632,,,True,19,0,0,0.30000000000000004,0.5717907857113149,,0.010602100010146387,2,7188,2.718399800010957
