experiment,scenario,family,nodes,offered_load,failure,control_mode,algorithm,trial,seed,pdr,pdr_critical,pdr_high,pdr_normal,pdr_low,throughput_mbps,mean_latency_ms,p95_latency_ms,time_to_restore_critical_s,time_to_restore_overall_s,censored,reroutes,preemptions,cascade_depth,cascade_threshold,cascade_dwell_ticks,cascade_saturated,total_links,time_to_converge_s,peak_restore_critical,optimality_gap,control_seconds,control_calls,blackholed_flow_ticks,wall_clock_s
a10-scale,scale_free-n500-load0.7-critical_link-centralised-deg4.0,scale_free,500,0.7,critical_link,CENTRALISED,cspf,19,3980027562323927333,0.7515873290927815,0.9936807375889543,0.9233323836363097,0.7015779756660513,0.505117020396507,26988.36516885985,65.51018254474857,155.11808769448507,0.0,0.0,False,619,0,0,0.98,3,False,1992,0.30000000000000004,1.0061244927936939,,10.115378599963151,2,14,149.26475170001504
a10-scale,scale_free-n500-load0.7-critical_link-centralised-deg4.0,scale_free,500,0.7,critical_link,CENTRALISED,ecmp,19,3980027562323927333,0.5788575493756732,0.9654901087947863,0.7565984286245343,0.4861941129819565,0.29995819182738914,20785.899813078737,49.692641432516105,105.12850371770776,0.0,0.0,False,61,0,0,0.98,3,False,1992,0.30000000000000004,1.005096580447609,,14.166827399953036,2,14,152.39576479999232
a10-scale,scale_free-n500-load0.7-critical_link-centralised-deg4.0,scale_free,500,0.7,critical_link,CENTRALISED,orbit,19,3980027562323927333,0.7736782460696642,0.99991051007847,0.9980228445690671,0.9002166708260596,0.23575270840260604,27781.616613115475,50.374618010535364,109.29033722732567,0.0,0.0,False,1233,6,0,0.98,3,False,1992,0.30000000000000004,1.0,,6.760993100004271,2,400,181.88289079998503
a10-scale,scale_free-n500-load0.7-critical_link-centralised-deg4.0,scale_free,500,0.7,critical_link,CENTRALISED,spf-reconverge,19,3980027562323927333,0.47371407306538627,0.9057889482401739,0.568066069592915,0.39740171501134214,0.2282136494513183,17010.356474408254,48.59275194867048,154.0129709992865,0.0,0.0,False,52,0,0,0.98,3,False,1992,0.30000000000000004,1.0106131382161818,,2.5138022999744862,2,104,44.49865610001143
a10-scale,scale_free-n500-load0.7-critical_link-centralised-deg4.0,scale_free,500,0.7,critical_link,CENTRALISED,spf-static,19,3980027562323927333,0.4695030545352719,0.8924875943894991,0.5611807252972378,0.39617527861516516,0.22791925994885243,16859.145162795612,48.17752091859065,154.0125,0.0,0.0,False,0,0,0,0.98,3,False,1992,0.0,0.9932500534543983,,1.2316899000143167,2,6760,42.85468109999783
a10-scale,scale_free-n500-load0.7-critical_link-centralised-deg4.0,scale_free,500,0.7,critical_link,CENTRALISED,cspf,20,3251976444977927889,0.7370456100357853,0.9967730927652292,0.8855478767314301,0.6734863599977504,0.5236873691661617,27735.432744640464,66.82556935989562,155.15976558784183,0.0,0.0,False,579,0,0,0.98,3,False,1992,0.30000000000000004,1.0070886746679402,,10.276828200003365,2,12,138.59084650001023
a10-scale,scale_free-n500-load0.7-critical_link-centralised-deg4.0,scale_free,500,0.7,critical_link,CENTRALISED,ecmp,20,3251976444977927889,0.5670742700608364,0.979085721245754,0.6825034068287075,0.46419542508228484,0.3482092618094806,21339.317491796442,48.01396121523057,110.1945926048378,0.0,0.0,False,62,0,0,0.98,3,False,1992,0.30000000000000004,0.9991502595233376,,14.194495400006417,2,22,155.13562110002385
a10-scale,scale_free-n500-load0.7-critical_link-centralised-deg4.0,scale_free,500,0.7,critical_link,CENTRALISED,orbit,20,3251976444977927889,0.75967859341984,0.9999134389121892,0.9999590922206139,0.8773449270635136,0.22191193398123893,28587.124390193494,52.38481618629929,111.43003288155026,0.0,0.0,False,1245,0,0,0.98,3,False,1992,0.30000000000000004,1.0,,6.957153700001072,2,18,173.48193249999895
a10-scale,scale_free-n500-load0.7-critical_link-centralised-deg4.0,scale_free,500,0.7,critical_link,CENTRALISED,spf-reconverge,20,3251976444977927889,0.4789843873269656,0.8742845343470801,0.5185933164442553,0.39463821468192967,0.3185900174574237,18024.446627929665,44.95188241687131,105.31619635614025,0.0,0.0,False,40,0,0,0.98,3,False,1992,0.30000000000000004,0.9957370272812125,,2.606661099998746,2,80,44.9296161000093
a10-scale,scale_free-n500-load0.7-critical_link-centralised-deg4.0,scale_free,500,0.7,critical_link,CENTRALISED,spf-static,20,3251976444977927889,0.47392211572917314,0.8669668910184781,0.5137445609575154,0.3909468319043897,0.3128037345656959,17833.950556148084,44.40905439726296,105.22363979959665,0.0,0.0,False,0,0,0,0.98,3,False,1992,0.0,0.9859661078418591,,1.3468888999486808,2,5200,42.26131420000456
