experiment,scenario,family,nodes,offered_load,failure,algorithm,trial,seed,flows,live_links,bound,achieved,optimality_gap
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,spf-static,11,9252146967079671133,24,23,104468.69743492779,103863.82234774577,0.005790012721837434
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,cspf,12,2527914434513340948,24,23,96117.18696288836,96095.79789787151,0.00022253111740677678
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,ecmp,12,2527914434513340948,24,23,96117.18696288836,96072.72357678584,0.0004625955826161876
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,orbit,12,2527914434513340948,24,23,96117.18696288836,96089.91887560258,0.00028369626855917485
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,spf-reconverge,12,2527914434513340948,24,23,96117.18696288836,93360.79975668482,0.02867736034834023
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,spf-static,12,2527914434513340948,24,23,96117.18696288836,93360.79975668482,0.02867736034834023
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,cspf,13,10457224028882128909,24,23,124814.751104537,124814.75110453699,1.1102230246251565e-16
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,ecmp,13,10457224028882128909,24,23,124814.751104537,124751.83629349632,0.0005040655089556534
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,orbit,13,10457224028882128909,24,23,124814.751104537,124814.75110453699,1.1102230246251565e-16
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,spf-reconverge,13,10457224028882128909,24,23,124814.751104537,124769.9515237386,0.00035892857536434786
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,spf-static,13,10457224028882128909,24,23,124814.751104537,124769.9515237386,0.00035892857536434786
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,cspf,14,13351624629905728347,24,23,116712.80385299916,116478.40463195318,0.0020083419582757056
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,ecmp,14,13351624629905728347,24,23,116712.80385299916,116595.98601363282,0.0010008999485049408
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,orbit,14,13351624629905728347,24,23,116712.80385299916,116616.09966035084,0.0008285654140407495
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,spf-reconverge,14,13351624629905728347,24,23,116712.80385299916,111696.89529068701,0.04297650640481343
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,spf-static,14,13351624629905728347,24,23,116712.80385299916,111696.89529068701,0.04297650640481343
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,cspf,15,12527956485754855804,24,23,136175.0901714678,136175.09017146777,2.220446049250313e-16
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,ecmp,15,12527956485754855804,24,23,136175.0901714678,136144.60386331443,0.00022387580661764606
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,orbit,15,12527956485754855804,24,23,136175.0901714678,136175.09017146777,2.220446049250313e-16
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,spf-reconverge,15,12527956485754855804,24,23,136175.0901714678,136123.1374808731,0.0003815139063193529
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,spf-static,15,12527956485754855804,24,23,136175.0901714678,136123.1374808731,0.0003815139063193529
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,cspf,16,6200999123924002381,24,23,142635.9190728805,142595.57808766514,0.0002828248696230551
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,ecmp,16,6200999123924002381,24,23,142635.9190728805,142465.42632354604,0.0011953002472493424
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,orbit,16,6200999123924002381,24,23,142635.9190728805,142520.47744297003,0.0008093447335062454
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,spf-reconverge,16,6200999123924002381,24,23,142635.9190728805,141988.03050606156,0.004542253949987751
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,spf-static,16,6200999123924002381,24,23,142635.9190728805,141988.03050606156,0.004542253949987751
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,cspf,17,1094445758909230373,24,23,129271.99897968255,128743.63146286404,0.0040872541694164655
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,ecmp,17,1094445758909230373,24,23,129271.99897968255,128713.25069120139,0.004322268495043358
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,orbit,17,1094445758909230373,24,23,129271.99897968255,128743.63146286404,0.0040872541694164655
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,spf-reconverge,17,1094445758909230373,24,23,129271.99897968255,125335.28638318951,0.03045294129869358
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,spf-static,17,1094445758909230373,24,23,129271.99897968255,125335.28638318951,0.03045294129869358
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,cspf,18,15628877752884625996,24,23,124038.5828340575,123981.91032011922,0.0004568942392231268
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,ecmp,18,15628877752884625996,24,23,124038.5828340575,123831.2594551867,0.001671442660290401
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,orbit,18,15628877752884625996,24,23,124038.5828340575,124001.55121740254,0.00029854917565852457
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,spf-reconverge,18,15628877752884625996,24,23,124038.5828340575,123386.90133405438,0.005253861218931899
