experiment,scenario,family,nodes,offered_load,failure,control_mode,algorithm,trial,seed,pdr,pdr_critical,pdr_high,pdr_normal,pdr_low,throughput_mbps,mean_latency_ms,p95_latency_ms,time_to_restore_critical_s,time_to_restore_overall_s,censored,reroutes,preemptions,cascade_depth,cascade_threshold,cascade_dwell_ticks,cascade_saturated,total_links,time_to_converge_s,peak_restore_critical,optimality_gap,control_seconds,control_calls,blackholed_flow_ticks,wall_clock_s
a9-ceiling,waxman-n60-load0.9-cascading-centralised-th0.9-dw3,waxman,60,0.9,cascading,CENTRALISED,orbit,8,7891546345124064172,0.03552845828751298,0.035338520360468334,0.06560864172021,0.019433991397380918,0.026512500053892354,263.09887763720695,35.3359222036291,151.53298028616194,,,True,269,5,120,0.9,3,False,234,0.0,0.0,,0.3403760000364855,5,21086,1.2420435999811161
a9-ceiling,waxman-n60-load0.9-cascading-centralised-th0.9-dw3,waxman,60,0.9,cascading,CENTRALISED,orbit-ceiling-0.6,8,7891546345124064172,0.27053382302247686,0.45805937801374097,0.49768750225022496,0.16157600814896525,0.0639113162614784,2003.3840090700683,1.1369494373989255,2.078815696598169,,0.2,True,49,0,0,0.9,3,False,234,0.30000000000000004,0.9141111315253547,,0.06747069998527877,2,15432,1.2484567999781575
a9-ceiling,waxman-n60-load0.9-cascading-centralised-th0.9-dw3,waxman,60,0.9,cascading,CENTRALISED,orbit-ceiling-0.7,8,7891546345124064172,0.3096826455176075,0.793117895430625,0.5232753823931228,0.09302847009778237,0.08795440327299706,2293.2927682944223,1.442205182497246,2.8593723098663473,,0.2,True,48,0,0,0.9,3,False,234,0.30000000000000004,0.9275428222973402,,0.06549949999316595,2,15604,1.3575045999896247
a9-ceiling,waxman-n60-load0.9-cascading-centralised-th0.9-dw3,waxman,60,0.9,cascading,CENTRALISED,orbit-ceiling-0.8,8,7891546345124064172,0.339317564564209,0.801491421941702,0.5448271873795266,0.13972678326758758,0.11484882467749448,2512.748222199403,1.4305239154409173,2.9659553457555314,,0.0,True,55,0,0,0.9,3,False,234,0.30000000000000004,0.8634645962046232,,0.08254580001812428,2,14554,1.5082847000157926
a9-ceiling,waxman-n60-load0.9-cascading-centralised-th0.9-dw3,waxman,60,0.9,cascading,CENTRALISED,orbit-ceiling-0.9,8,7891546345124064172,0.39593576568603495,0.801491421941702,0.647717646550324,0.17283057172829372,0.19156070076069384,2932.022963828864,1.5718904381976473,3.5272704217764588,,0.0,True,66,0,0,0.9,3,False,234,0.30000000000000004,0.8634645962046232,,0.0858845999755431,2,12926,1.8864748000050895
a9-ceiling,waxman-n60-load0.9-cascading-centralised-th0.9-dw3,waxman,60,0.9,cascading,CENTRALISED,orbit-ceiling-0.95,8,7891546345124064172,0.20857039548896353,0.35452918959901547,0.2737277501701997,0.11266757470738284,0.18566873198505665,1544.5262644785578,1.3921899748204343,2.658477913560738,,0.0,True,122,0,63,0.9,3,False,234,0.30000000000000004,0.6281474046419847,,0.23899569996865466,6,17161,1.3428768000158016
a9-ceiling,waxman-n60-load0.9-cascading-centralised-th0.9-dw3,waxman,60,0.9,cascading,CENTRALISED,orbit-ceiling-1.0,8,7891546345124064172,0.13617718020293465,0.1930345671244361,0.15069308300331205,0.12293429676849955,0.10368242096373735,1008.4328169056552,1.2025984461016948,2.189136658742805,,0.0,True,133,0,102,0.9,3,False,234,1.1,0.5556597711675012,,0.30191380000906065,9,19111,1.2835150999890175
a9-ceiling,waxman-n60-load0.9-cascading-centralised-th0.9-dw3,waxman,60,0.9,cascading,CENTRALISED,orbit-no-fallback,8,7891546345124064172,0.11395320378921801,0.14605803719190244,0.110697940514512,0.08622279148322096,0.13781919851540206,843.8576134513679,1.6558677766752108,2.2665457523843853,,0.0,True,137,13,113,0.9,3,False,234,0.6000000000000001,0.2567290266444371,,0.2243804000027012,7,19688,1.216743700002553
a9-ceiling,waxman-n60-load0.9-cascading-centralised-th0.9-dw3,waxman,60,0.9,cascading,CENTRALISED,spf-static,8,7891546345124064172,0.08168449065840026,0.015581208163125398,0.13334333916611046,0.06763034471815485,0.08804544933713222,604.8981252908854,5.738307828900203,50.664324158236994,,0.0,True,0,0,33,0.9,3,False,234,0.0,0.0,,0.030692100030137226,2,20139,0.7529801000200678
a9-ceiling,waxman-n60-load0.9-cascading-centralised-th0.9-dw3,waxman,60,0.9,cascading,CENTRALISED,cspf,9,17252179256815130095,0.028993336828286025,0.03313981316373125,0.04059854404655338,0.030737746249577747,0.013478715039472532,301.2560386618603,52.39655083582699,152.26420321385626,,,True,178,0,196,0.9,3,False,310,0.0,0.0,,0.3893873000051826,5,21197,1.5565008000121452
