experiment,scenario,family,nodes,offered_load,failure,control_mode,algorithm,trial,seed,pdr,pdr_critical,pdr_high,pdr_normal,pdr_low,throughput_mbps,mean_latency_ms,p95_latency_ms,time_to_restore_critical_s,time_to_restore_overall_s,censored,reroutes,preemptions,cascade_depth,cascade_threshold,cascade_dwell_ticks,cascade_saturated,total_links,time_to_converge_s,peak_restore_critical,optimality_gap,control_seconds,control_calls,blackholed_flow_ticks,wall_clock_s
a9-ceiling-cost,waxman-n60-load0.7-none-centralised,waxman,60,0.7,none,CENTRALISED,cspf,22,12192658373188410560,0.7062064904541934,0.9721487123207557,0.872847480860702,0.6221483345718637,0.5028250136374508,4825.81917599037,50.3617874878325,151.44620900340243,,,False,0,0,0,0.98,3,False,268,,,,0.1460390999855008,1,0,3.9745725999819115
a9-ceiling-cost,waxman-n60-load0.7-none-centralised,waxman,60,0.7,none,CENTRALISED,orbit,22,12192658373188410560,0.6626324847941047,0.9721487123207557,0.9668283322204582,0.578189709758873,0.2981015244051548,4528.058853858627,50.11915401841841,151.50780671006763,,,False,150,0,0,0.98,3,False,268,,,,0.1651244999957271,1,0,4.45578389998991
a9-ceiling-cost,waxman-n60-load0.7-none-centralised,waxman,60,0.7,none,CENTRALISED,orbit-ceiling-0.9,22,12192658373188410560,0.49851596908736046,0.9587489443193655,0.9337890403027488,0.2617991128772859,0.1222395711071436,3406.5786079252275,1.4305651464007179,3.1950452322778067,,,False,81,0,0,0.98,3,False,268,,,,0.11590110001270659,1,10350,2.7410467000154313
a9-ceiling-cost,waxman-n60-load0.7-none-centralised,waxman,60,0.7,none,CENTRALISED,orbit-ceiling-0.95,22,12192658373188410560,0.5938570833441881,0.9637644985670459,0.9337890403027488,0.4591103073481396,0.22701787688957223,4058.0863236713362,1.5437568546631422,3.138508103057454,,,False,94,0,0,0.98,3,False,268,,,,0.12420180000481196,1,8400,3.242290900001535
a9-ceiling-cost,waxman-n60-load0.7-none-centralised,waxman,60,0.7,none,CENTRALISED,cspf,23,14164455265962751468,0.8425347465654068,1.0,0.979338216780851,0.7675766494218283,0.6988434696283081,4521.573148210495,44.85731791306379,151.50325608792912,,,False,0,0,0,0.98,3,False,248,,,,0.14026350001222454,1,0,5.195553500001552
a9-ceiling-cost,waxman-n60-load0.7-none-centralised,waxman,60,0.7,none,CENTRALISED,orbit,23,14164455265962751468,0.8150894599058148,1.0,1.0,0.8298349646268811,0.4737290498249252,4374.284420106606,42.869453356785556,151.38198329417892,,,False,150,0,0,0.98,3,False,248,,,,0.15989569999510422,1,0,5.529881199996453
a9-ceiling-cost,waxman-n60-load0.7-none-centralised,waxman,60,0.7,none,CENTRALISED,orbit-ceiling-0.9,23,14164455265962751468,0.671832447948488,1.0,1.0,0.5748341731779744,0.24005443874990023,3605.4768887856017,1.6196461446360209,3.330835855130463,,,False,104,0,0,0.98,3,False,248,,,,0.14386260000173934,1,6900,4.045315900002606
a9-ceiling-cost,waxman-n60-load0.7-none-centralised,waxman,60,0.7,none,CENTRALISED,orbit-ceiling-0.95,23,14164455265962751468,0.7748487398833638,1.0,1.0,0.7135164819968054,0.47123977898015973,4158.327321767463,1.5328195603635582,3.203247375659043,,,False,117,0,0,0.98,3,False,248,,,,0.16122060001362115,1,4950,4.3773945000139065
a9-ceiling-cost,waxman-n60-load0.7-none-centralised,waxman,60,0.7,none,CENTRALISED,cspf,24,17600463536385404688,0.7496628051382022,0.9990077826423748,0.9303553145845699,0.6452930946798638,0.5659547043035281,4250.550861122312,37.83342988277222,102.08769994216141,,,False,0,0,0,0.98,3,False,248,,,,0.15125679998891428,1,0,4.473918300005607
a9-ceiling-cost,waxman-n60-load0.7-none-centralised,waxman,60,0.7,none,CENTRALISED,orbit,24,17600463536385404688,0.7324884902099408,1.0,0.9892818215956907,0.6370525071953136,0.44496707377813627,4153.173348716518,40.00529207781586,102.53693377949276,,,False,150,0,0,0.98,3,False,248,,,,0.1633902999747079,1,0,4.605711200012593
