experiment,scenario,family,nodes,offered_load,failure,control_mode,algorithm,trial,seed,pdr,pdr_critical,pdr_high,pdr_normal,pdr_low,throughput_mbps,mean_latency_ms,p95_latency_ms,time_to_restore_critical_s,time_to_restore_overall_s,censored,reroutes,preemptions,backup_activations,cascade_depth,cascade_threshold,cascade_dwell_ticks,cascade_saturated,total_links,time_to_converge_s,peak_restore_critical,optimality_gap,control_seconds,control_calls,blackholed_flow_ticks,wall_clock_s
a11-mechanisms,waxman-n60-load1.5-critical_link-centralised,waxman,60,1.5,critical_link,CENTRALISED,orbit-restoration-only,1,13373457540812550710,0.3330838814075497,0.8075514984457757,0.49650839583753825,0.15414898115450637,0.12825166735532842,4627.004782039768,109.26310640731528,302.2420816093025,0.2,0.2,True,216,0,0,0,0.98,3,False,262,0.30000000000000004,0.9999999999999999,,0.15560859997640364,2,4,1.418632399989292
a11-mechanisms,waxman-n60-load1.5-critical_link-centralised,waxman,60,1.5,critical_link,CENTRALISED,cspf,2,4142652338333213973,0.43477135407265516,0.7812946415939239,0.5329479261258528,0.33223954799152267,0.2759567927137766,4572.625645449541,84.55646159225083,154.06824541551296,0.0,0.2,False,2,0,0,0,0.98,3,False,226,0.30000000000000004,1.0,,0.13468049999210052,2,4,1.5250863000110257
a11-mechanisms,waxman-n60-load1.5-critical_link-centralised,waxman,60,1.5,critical_link,CENTRALISED,orbit,2,4142652338333213973,0.41872113801407007,0.9219010269560507,0.5680188823267099,0.26765784845445845,0.184838159008314,4403.820527823903,81.60185693955475,157.15521594310135,0.2,0.2,False,196,3,0,0,0.98,3,False,226,0.30000000000000004,1.0,,0.15964540001004934,2,4,1.7891624000039883
a11-mechanisms,waxman-n60-load1.5-critical_link-centralised,waxman,60,1.5,critical_link,CENTRALISED,orbit-no-damping,2,4142652338333213973,0.41872113801407007,0.9219010269560507,0.5680188823267099,0.26765784845445845,0.184838159008314,4403.820527823903,81.60185693955475,157.15521594310135,0.2,0.2,False,196,3,0,0,0.98,3,False,226,0.30000000000000004,1.0,,0.19336760000442155,2,4,1.8197045999986585
a11-mechanisms,waxman-n60-load1.5-critical_link-centralised,waxman,60,1.5,critical_link,CENTRALISED,orbit-no-preemption,2,4142652338333213973,0.4189805357102008,0.9219010269560507,0.5611094240826885,0.2820805048504557,0.17378452156008709,4406.548694126919,77.75396875302162,201.37635478698897,0.2,0.2,False,200,0,0,0,0.98,3,False,226,0.30000000000000004,1.0,,0.10749689998920076,2,4,1.6281738999823574
a11-mechanisms,waxman-n60-load1.5-critical_link-centralised,waxman,60,1.5,critical_link,CENTRALISED,orbit-no-protection,2,4142652338333213973,0.41872113801407007,0.9219010269560507,0.5680188823267099,0.26765784845445845,0.184838159008314,4403.820527823903,81.60185693955475,157.15521594310135,0.2,0.2,False,196,3,0,0,0.98,3,False,226,0.30000000000000004,1.0,,0.15680089997476898,2,4,1.7205658000020776
a11-mechanisms,waxman-n60-load1.5-critical_link-centralised,waxman,60,1.5,critical_link,CENTRALISED,orbit-restoration-only,2,4142652338333213973,0.4189805357102008,0.9219010269560507,0.5611094240826885,0.2820805048504557,0.17378452156008709,4406.548694126919,77.75396875302162,201.37635478698897,0.2,0.2,False,200,0,0,0,0.98,3,False,226,0.30000000000000004,1.0,,0.1348899999866262,2,4,1.7048834000015631
a11-mechanisms,waxman-n60-load1.5-critical_link-centralised,waxman,60,1.5,critical_link,CENTRALISED,cspf,3,11286498840757103585,0.34745283984629743,0.7300429244358078,0.39686091146014946,0.283581922583698,0.17002408911551473,4581.7410770369615,96.45013106486137,201.23639704874037,,0.0,True,40,0,0,0,0.98,3,False,248,0.30000000000000004,1.0,,0.1682374000083655,2,6,1.261588200024562
a11-mechanisms,waxman-n60-load1.5-critical_link-centralised,waxman,60,1.5,critical_link,CENTRALISED,orbit,3,11286498840757103585,0.35035965799666324,0.8755432325348826,0.5009183695469379,0.20522549013512542,0.10353983659668213,4620.072288055122,105.10821466068371,301.25294096062333,0.0,0.2,True,205,4,0,0,0.98,3,False,248,0.30000000000000004,0.9999999999999999,,0.1869928000087384,2,4,1.3816365999809932
a11-mechanisms,waxman-n60-load1.5-critical_link-centralised,waxman,60,1.5,critical_link,CENTRALISED,orbit-no-damping,3,11286498840757103585,0.35035965799666324,0.8755432325348826,0.5009183695469379,0.20522549013512542,0.10353983659668213,4620.072288055122,105.10821466068371,301.25294096062333,0.0,0.2,True,205,4,0,0,0.98,3,False,248,0.30000000000000004,0.9999999999999999,,0.17718530003912747,2,4,1.4778216000122484
